Run,Assay Type,AvgSpotLen,Bases,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_store_temp,Sample Name,Sample_name,SRA Study,temp
DRR711752,AMPLICON,246,434007,SAMD01601988,MIMS.me.miscellaneous,338394,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691773,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0055,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:00:00Z,1,-20,SAMD01601988,HS3_S_0055,DRP017300,30
DRR711754,AMPLICON,246,301794,SAMD01601990,MIMS.me.miscellaneous,261154,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691775,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0057,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:58:00Z,1,-20,SAMD01601990,HS3_S_0057,DRP017300,30
DRR711755,AMPLICON,246,219200,SAMD01601991,MIMS.me.miscellaneous,230653,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691776,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0058,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:59:00Z,1,-20,SAMD01601991,HS3_S_0058,DRP017300,30
DRR711758,AMPLICON,246,386779,SAMD01601994,MIMS.me.miscellaneous,312634,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691779,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0061,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01601994,HS3_S_0061,DRP017300,30
DRR711759,AMPLICON,246,339306,SAMD01601995,MIMS.me.miscellaneous,286197,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691780,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0062,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:04:00Z,1,-20,SAMD01601995,HS3_S_0062,DRP017300,30
DRR711762,AMPLICON,246,209818,SAMD01601998,MIMS.me.miscellaneous,209488,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691783,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0065,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:01:00Z,1,-20,SAMD01601998,HS3_S_0065,DRP017300,30
DRR711764,AMPLICON,246,291448,SAMD01602000,MIMS.me.miscellaneous,257911,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691785,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0067,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:00:00Z,1,-20,SAMD01602000,HS3_S_0067,DRP017300,30
DRR711766,AMPLICON,246,386874,SAMD01602002,MIMS.me.miscellaneous,311985,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691787,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0069,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T20:59:00Z,1,-20,SAMD01602002,HS3_S_0069,DRP017300,30
DRR711767,AMPLICON,246,339754,SAMD01602003,MIMS.me.miscellaneous,287183,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691788,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0070,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:02:00Z,1,-20,SAMD01602003,HS3_S_0070,DRP017300,30
DRR711771,AMPLICON,246,229348,SAMD01602007,MIMS.me.miscellaneous,232401,KYOTO UNIVERSITY,2023-02-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,DRX691792,uncalculated,uncalculated,missing: lab stock,Illumina MiSeq,not applicable,HS3_S_0074,SINGLE,PCR,METAGENOMIC,mixed culture metagenome,ILLUMINA,2026-03-27T00:00:00Z,2026-03-27T21:03:00Z,1,-20,SAMD01602007,HS3_S_0074,DRP017300,30
